country,provider,name,gb,days,usd,perGb,source
"canada","Saily","10GB / 30d","10","30","30.99","3.099","https://saily.com/esim-canada/"
"canada","Airalo","canada-mobile-plus-30days-10gb","10","30","31","3.1","https://www.airalo.com/canada-esim"
"canada","eSIM.dog","YELLOW_CA_FF16A9002A","60","125","197.49","3.292","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_500MB_10D","0.5","10","1.65","3.3","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_E12859F3EB","0.5","15","1.68","3.36","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_F84685C8EC","0.5","20","1.69","3.38","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_C4C96DB21D","0.5","30","1.71","3.42","https://esim.dog/ca"
"canada","Saily","5GB / 30d","5","30","17.99","3.598","https://saily.com/esim-canada/"
"canada","Airalo","canada-mobile-30days-5gb","5","30","18","3.6","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-plus-7days-5gb","5","7","20","4","https://www.airalo.com/canada-esim"
"canada","eSIM.dog","PIORZG0R5","0.49","7","1.99","4.061","https://esim.dog/ca"
"canada","Saily","3GB / 30d","3","30","12.99","4.33","https://saily.com/esim-canada/"
"canada","Airalo","canada-mobile-plus-3days-3gb","3","3","13","4.333","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-plus-15days-5gb","5","15","22","4.4","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-plus-7days-3gb","3","7","14","4.667","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-plus-30days-5gb","5","30","24","4.8","https://www.airalo.com/canada-esim"
"canada","eSIM.dog","BLACK_CA_708692D540","0.5","1","2.49","4.98","https://esim.dog/ca"
"canada","eSIM.dog","PPPTNR783","0.49","1","2.49","5.082","https://esim.dog/ca"
"canada","Saily","1GB / 7d","1","7","5.29","5.29","https://saily.com/esim-canada/"
"canada","eSIM.dog","BLACK_CA_BE9BA6FF91","1","4","5.99","5.99","https://esim.dog/ca"
"canada","eSIM.dog","YELLOW_CA_B057599EE8","10","180","66.49","6.649","https://esim.dog/ca"
